emp_title,emp_length,state,homeownership,debt_to_income,annual_income,open_credit_lines,total_credit_limit,total_credit_utilized,total_debit_limit,loan_amount,interest_rate,installment,grade,balance,paid_interest
b tech,0,AZ,MORTGAGE,13.2,34000,8,153531,8983,1500,12000,10.91,392.36,B,10557.71,501.33
driver,10,IL,MORTGAGE,6.65,35000,8,151230,4536,4500,4500,9.44,144.03,B,3948.24,166.03
parts tech,9,CA,MORTGAGE,20.51,54000,7,336575,37169,15300,10000,9.44,320.05,B,9023.01,290.1
owner,5,CT,MORTGAGE,17.75,52000,7,41537,16079,12700,6300,9.44,201.64,B,5684.46,187.72
driver,0,TX,MORTGAGE,4.56,185000,7,191930,15356,10100,10000,10.91,326.97,B,9285.38,254.17
hr director,5,OH,RENT,6.84,138000,14,49041,32424,14500,3000,10.42,97.4,B,2637,122.26
office manager,4,TX,RENT,21.77,42000,5,63951,40181,9300,15500,10.42,332.55,B,14698.84,511.09
executive assistant,1,NY,RENT,5.39,75000,5,36400,11435,32800,12000,10.9,392.3,B,11142.36,311.99
"director, quality improvement",9,GA,MORTGAGE,8.83,235000,7,497540,70167,25500,40000,10.91,1307.85,B,35192.45,1719.59
server,6,OH,RENT,28.84,30000,11,63276,24888,22900,6000,9.93,193.41,B,5269.21,232.95
hardware analyst 2,1,NY,RENT,11.3,80000,13,55501,35880,13000,8400,9.44,268.85,B,7579.3,250.29
bsa investigator,4,TX,MORTGAGE,15.84,85000,10,120964,53665,57500,6500,10.41,211,B,6032.13,157.61
chemistry professor,6,MD,MORTGAGE,15.33,67000,10,266020,52114,36000,13425,10.9,291.23,B,12912.51,353.07
president/owner,10,OH,MORTGAGE,15.32,122000,5,113837,45337,15800,40000,9.44,838.91,B,37337.22,1510.79
management analyst,10,VA,MORTGAGE,27.29,110000,35,486840,106502,59900,35000,10.91,759.42,B,33210.94,1227.41
bookkeeper,10,AL,MORTGAGE,34.21,44000,9,111092,41962,17500,10000,11.99,332.1,B,6347.65,334.33
gas service tech,10,CA,OWN,0.69,255000,3,234000,14676,29000,13500,9.44,432.07,B,12181.06,402.26
auditor,10,TN,MORTGAGE,18.55,68000,7,221732,55468,19000,10000,9.44,320.05,B,9023.01,297.97
srsystems analyst,8,CT,RENT,8.55,81000,14,49800,17375,34000,40000,9.92,1289.19,B,37100.59,946.12
office manager,2,CA,MORTGAGE,9.26,70000,12,478577,11771,18400,12000,9.44,251.68,B,11524.44,273.19
production,10,MN,MORTGAGE,0.54,75000,7,253569,42,35100,24000,10.42,514.91,B,22440.6,980.42
realtor / assistant,5,NJ,MORTGAGE,18.39,80000,14,531782,81876,18200,14000,9.44,293.62,B,13068.02,528.78
warehouseman,6,CA,OWN,23.19,37000,6,236693,50175,3700,5000,11.99,166.05,B,4407.82,211.52
sr teller 3,10,AR,OWN,19.84,34000,5,42891,31131,19200,11850,9.43,248.47,B,11512.75,178.48
supervisor,8,NY,MORTGAGE,2.91,70000,12,13100,2718,11400,5000,10.41,162.31,B,4518.03,161.49
sales consultant,4,CA,RENT,28.02,60000,9,78279,50398,11500,11200,10.41,363.56,B,10393.84,293.16
field mechanic,10,OH,MORTGAGE,29.78,95000,12,395500,96953,35000,10050,11.99,333.76,B,9102.54,370.84
accountant,10,PA,OWN,28.6,56000,36,163059,32750,104000,9000,9.43,288.01,B,8343.01,202.32
district manager,10,CA,RENT,9.4,65000,9,41600,19003,29400,35000,11.99,1162.34,B,30854.83,1643.22
assistant project manager,6,NJ,MORTGAGE,28.62,85410,15,382173,48991,12400,7000,10.9,228.84,B,6499.71,177.75
maintenance engineer,10,MN,MORTGAGE,16.9,62000,12,149627,32471,13500,15000,10.41,486.91,B,13920.33,372.38
commercial loan underwriter,10,CA,OWN,10.68,150000,10,579000,31013,37100,2800,9.44,89.62,B,2456.67,101.83
professor,10,MI,RENT,23.5,70000,23,78903,33453,12300,21000,9.92,676.83,B,19477.8,485.14
nursing coordinator -admin ii,6,CA,MORTGAGE,11.83,144000,9,496053,45152,43700,28000,11.98,622.57,B,26960.58,809.65
teacher,4,NY,RENT,17.39,67000,15,79982,72589,4700,16800,10.91,549.3,B,14780.82,717.14
pacs admin,10,TX,MORTGAGE,28.46,80000,10,337526,44979,30200,15000,9.43,314.52,B,14405.42,341.12
electrician,3,VA,RENT,15.74,72500,17,96881,23632,42000,1500,9.44,48.01,B,1353.44,43.91
sr market research analyst,10,OH,MORTGAGE,31.87,86000,9,253098,207326,14200,10000,9.92,322.3,B,9275.14,236.53
lead automation developer,0,CO,MORTGAGE,11.64,132000,9,536028,76603,33000,24000,9.93,509.11,B,19871.58,903.89
team  leader,10,AL,MORTGAGE,49.84,72000,19,373455,108713,30600,40000,11.99,889.58,B,38010.78,1715.65
executive office administrator,10,TX,OWN,14,43200,5,18871,9935,4500,5000,11.99,166.05,B,0,111.3
manager,0,CA,RENT,7.07,108407,3,44086,26925,3300,40000,9.92,848.31,B,38434.2,957.09
network engineer 3,10,NV,RENT,4.05,103000,2,16700,14725,16700,11000,10.91,359.66,B,9677.92,462.89
general contractor,10,CA,RENT,7.68,90000,5,26832,14997,8800,7000,9.44,224.04,B,6142.28,258.81
paramedic,2,OK,RENT,9.63,50000,5,26708,18013,7700,3200,10.42,103.89,B,2812.82,130.42
president,10,NC,OWN,2.01,55000,5,26600,1012,26600,20000,11.99,444.79,B,18750.5,961.13
"business systems analyst, senior",10,FL,MORTGAGE,10.7,91100,9,277300,27359,17400,20000,11.99,444.79,B,19005.39,771.23
data entry,3,AZ,MORTGAGE,27.39,50320,10,143396,38728,44700,6000,11.98,199.23,B,5577.82,171.52
sr unix administrator,2,TX,MORTGAGE,13.4,125000,9,312418,53841,36100,28000,9.44,587.24,B,26136.03,947.42
manager,10,OH,OWN,16.05,35000,8,28900,19011,20700,14000,10.91,457.75,B,11837.49,581.55
manager,10,GA,OWN,26.88,30000,7,44464,21820,18700,5000,9.44,160.03,B,4386.95,184.48
"vice president, sales and marketing",10,CA,MORTGAGE,12.33,190000,13,1049446,266631,25100,10000,10.9,216.93,B,9618.26,262.99
owner,5,MN,MORTGAGE,25.74,75000,7,232987,59146,2000,12000,10.9,392.3,B,11142.36,304.73
busdriver,10,CA,MORTGAGE,18.28,55000,14,217056,37976,20700,4000,9.44,128.02,B,3509.58,145.48
perishables assistant,5,OH,RENT,62.57,17000,10,45917,17475,17300,3000,10.9,98.08,B,2785.57,77.99
accountant,0,MA,RENT,10.28,58000,6,78058,52929,26100,10000,9.93,322.35,B,9275.24,236.77
warehouse team member,2,OH,RENT,20.11,45000,7,38891,22268,8500,6000,9.93,193.41,B,5269.21,232.95
licensing specialist,0,GA,RENT,20.89,45000,5,68100,53631,28300,19000,9.43,608.01,B,17613.05,427.13
security tech,1,CA,RENT,1.12,95000,13,37200,5893,7800,40000,10.42,858.18,B,37407.68,1675.42
registered nurse,3,TX,MORTGAGE,19.77,76000,11,290148,46293,29200,30000,10.9,980.75,B,27855.89,761.81
manager,10,MI,RENT,15.23,84000,13,74900,24189,50700,30000,9.93,967.03,B,27825.77,710.31
coordinator,10,FL,MORTGAGE,40.52,34000,12,379558,46372,5900,5000,11.99,166.05,B,4407.83,234.75
welder,10,LA,MORTGAGE,36.6,50220,9,106107,68410,27500,35000,10.42,1136.27,B,31626.97,1151.79
senior accountant,4,TX,MORTGAGE,20.22,114000,15,98351,64066,55900,18000,10.9,588.45,B,16713.54,440.74
director,5,FL,OWN,14,60000,12,46151,19872,30250,16000,9.93,515.75,B,14051.26,612.36
principal,10,MS,MORTGAGE,8.67,170000,9,323047,39730,17500,30000,10.42,973.95,B,27108.81,969.88
pizza cook,3,NY,RENT,1,30000,3,24433,24620,1000,4000,10.9,130.77,B,3556.59,65.71
owner,10,GA,OWN,26.4,65000,10,381462,46394,42700,18000,9.44,377.51,B,16801.75,679.86
director,1,MN,MORTGAGE,8.36,100000,11,270983,85554,45100,40000,9.93,848.51,B,37369.27,1589.75
physical therapist,5,MI,MORTGAGE,18.04,60000,25,319089,64907,79900,28000,9.44,587.24,B,26514.69,834.28
flight nurse,4,GA,RENT,12.84,83000,8,124408,83737,3000,10000,9.93,212.13,B,9342.3,397.43
sr financial analyst,10,TX,MORTGAGE,22.2,85000,17,583646,71578,154800,40000,9.93,848.51,B,37904.12,1276.09
professional,2,FL,MORTGAGE,17.28,100000,10,335039,64218,28500,18000,9.93,580.22,B,15807.67,698.84
vp of operations,10,RI,RENT,11.06,155000,21,224673,79589,70500,20000,9.44,419.46,B,18939.06,653.61
"vp, corporate reporting",10,CA,MORTGAGE,26.39,240000,28,637272,90312,46800,19200,9.43,614.41,B,17798.45,493.35
"registered nurse,charge",7,KY,OWN,10.07,99000,9,51900,33756,50900,40000,9.92,1289.19,B,37100.59,924.07
shop foreman,10,NY,MORTGAGE,20.78,99000,13,415771,57617,20700,30000,9.93,636.38,B,28825.95,800.22
supervisor,9,CA,RENT,13.06,68000,6,44257,33488,17900,13000,10.91,425.05,B,11755.73,448.05
customer service,2,NY,OWN,29.52,30000,11,60883,31896,20400,10000,9.93,322.35,B,8782.01,382.73
owne,6,TX,RENT,34.01,140000,15,206586,134951,53110,35000,10.42,1136.27,B,31626.97,1151.79
supervisor,10,CA,RENT,14.21,91380,13,53769,15083,11500,20000,10.41,649.21,B,18560.45,496.51
field manager,10,NY,MORTGAGE,28.21,110000,15,379365,85359,73900,27650,10.42,593.22,B,0,569.88
supervisor,0,FL,RENT,46.29,45000,14,127762,99634,10300,25050,9.92,531.26,B,24069.4,599.37
early head start teacher,2,TX,RENT,1.15,26000,3,1700,201,0,4800,9.93,154.73,B,4684.99,42.07
store manager,10,NC,MORTGAGE,28.02,44500,10,308271,32220,19000,3200,9.43,102.41,B,2966.38,70.26
restaurant manager,10,VA,RENT,16.1,60000,13,56278,16417,16000,20000,10.41,428.99,B,19226.86,490.7
chaplain,10,CA,RENT,8.94,65000,7,38926,8453,27900,15000,9.43,314.52,B,14405.42,341.12
nursing,10,CA,RENT,16.77,40000,15,42500,15079,21200,20000,10.41,649.21,B,18560.45,496.51
fbc,1,NC,MORTGAGE,1.45,66000,5,108537,857,2800,9600,9.44,307.25,B,8899.33,216.05
sales represetative,10,AR,MORTGAGE,21.51,104000,16,338785,96986,26300,33000,10.42,1071.34,B,29007.31,1325.8
ar receptist,9,AL,OWN,2.55,90000,9,8100,2258,2800,2000,9.92,64.46,B,0,20.81
plant supervisor,7,FL,RENT,16.2,42000,4,37208,29670,3700,12000,9.93,386.82,B,10835.57,369.61
enrollment compliance rep,1,CO,RENT,31.17,36000,12,59584,44961,19200,9000,9.93,290.11,B,8126.69,284.66
manufacturing associate,2,RI,RENT,16.07,95000,12,132668,86894,39800,16000,9.92,515.68,B,14840.23,378.45
operations manager,10,MN,MORTGAGE,23.09,148692,20,361998,102370,112040,35000,10.42,750.91,B,32725.88,1460.17
postmaster,10,CA,MORTGAGE,18,89400,22,609171,40566,32200,20000,10.42,429.09,B,18700.51,834.38
nurse,10,MN,OWN,24.63,55000,14,101300,39371,69100,20000,9.93,424.26,B,18684.61,783.84
forklift operator,5,IN,MORTGAGE,36.38,32000,12,187795,52349,30200,3500,11.99,116.24,B,3085.45,161.99
system/database administrator,5,OR,RENT,26.85,100000,17,218561,120611,113600,25000,10.42,536.36,B,23706.16,837.13
owner,6,AZ,MORTGAGE,12.12,80000,11,290397,35466,33700,20000,10.42,649.3,B,17580.17,815.09
quality control,1,MO,RENT,8.61,70000,8,198131,198478,10300,30000,10.9,980.75,B,27855.89,779.97
manager system integration,7,NV,MORTGAGE,10.04,96000,7,339425,35212,23200,14000,9.43,448.01,B,12978.03,314.73
sales manager,1,CA,RENT,8.15,73000,6,28300,19943,20800,2500,10.42,81.17,B,2197.48,99.71
site superintendent,6,NY,RENT,8.74,120000,12,67700,21520,50400,40000,11.99,889.58,B,38515.53,1157.63
tool specialist,3,CA,RENT,23.4,50000,9,57680,30252,13500,9600,10.42,311.67,B,8674.79,346.86
president,10,FL,MORTGAGE,20.84,80000,16,462077,71240,36500,40000,9.93,848.51,B,37369.27,1567.69
office manager,10,MI,RENT,24.05,50000,14,72740,43490,19600,10000,11.99,332.1,B,9057.25,378.99
management,5,DC,RENT,34.91,187000,22,330513,212441,91500,10000,11.98,332.05,B,9533.25,184.04
facilities maintenance mgr,2,TN,MORTGAGE,18.81,92600,13,286929,76187,38400,40000,10.91,1307.85,B,34204.56,1821.34
regional telephony manager,10,TN,MORTGAGE,16.08,121000,13,284707,60574,39500,30000,9.92,636.24,B,28825.63,717.82
vp-lending application manager,0,WI,MORTGAGE,29.54,105000,15,444210,123980,36200,35000,10.9,759.25,B,33663.94,920.5
process technician sr sppec,10,CA,MORTGAGE,20.52,82500,10,99200,40326,37400,7500,9.92,241.73,B,6956.34,173.26
pastor,10,NY,MORTGAGE,6.37,65000,10,363600,8868,12600,22900,10.91,748.75,B,20708.13,789.25
plumber/pipefitter,10,CA,OWN,4.22,120000,8,169700,10468,11900,15000,9.93,483.52,B,13249.38,465.18
operator,10,AZ,MORTGAGE,39.8,55000,12,265748,80043,8600,2000,9.93,64.47,B,1805.93,61.05
project support manager,5,GA,MORTGAGE,27.48,57000,10,224044,31210,51500,28000,9.43,587.1,B,27262.98,407.84
patrol sergeant,10,TX,MORTGAGE,23.2,165000,24,344633,70804,41700,25000,11.99,555.99,B,23438.11,1201.41
quality engineer,1,CO,MORTGAGE,12.76,62400,8,274471,11264,12500,1300,11.98,43.17,B,0,9.08
pharmacist,3,CO,RENT,13.56,114000,15,162360,177276,10000,25000,11.99,555.99,B,23756.73,947.38
customer service,10,CA,RENT,19.89,37000,8,33650,13597,11000,8400,11.99,278.97,B,7405.12,394.37
education site manager,1,MA,RENT,7.62,57000,13,47250,22352,19600,10500,10.42,340.88,B,9229.6,427.92
dental hygienist,0,TX,RENT,17.42,35000,11,106233,34328,69900,13000,9.44,272.65,B,12310.38,387.34
statistician,10,MD,MORTGAGE,12.6,116365,11,483332,37067,23900,40000,9.44,838.91,B,37337.22,1479.33
day porter,3,MA,RENT,23.05,43000,10,56231,32443,29700,10000,10.42,324.65,B,9280.34,248.5
radiology department,8,NY,MORTGAGE,27.74,32000,8,158370,35704,20300,8475,10.9,277.06,B,8073.03,141.89
manager,7,WA,RENT,22.77,45000,7,69600,19488,39800,15000,10.9,325.39,B,14427.41,385.41
sales engineer,0,UT,MORTGAGE,11.99,110000,9,407900,58457,42000,35000,11.99,1162.34,B,0,1347.6
supervisor spd,10,MD,RENT,17.36,65000,14,63968,31198,33800,8000,10.42,259.72,B,7032.07,326.04
sales administrator,2,WA,RENT,23.34,42000,9,48364,31546,12900,9000,11.98,298.85,B,8366.72,257.28
firefighter/medic,10,MA,MORTGAGE,25.57,110000,22,519625,218737,81000,25000,11.99,555.99,B,23756.72,1004.85
teacher,10,IL,MORTGAGE,5.66,110000,19,341794,22281,13500,24000,10.9,520.63,B,23391.99,418.72
clinical manager,4,GA,MORTGAGE,8.98,35000,8,232600,17474,3600,3025,9.43,96.81,B,1789.17,53.02
accountant,4,PA,OWN,11.44,43000,9,67803,23661,31000,16000,10.42,343.27,B,14498.52,655.61
teacher,10,IN,MORTGAGE,22.05,65000,9,246682,72518,9000,5500,10.9,179.81,B,5106.89,128.01
sales,6,NY,RENT,25.7,80000,23,83126,57558,31350,1600,10.42,51.95,B,1406.38,64.28
sandwich maker,1,IL,RENT,10.13,12000,2,26600,3378,2600,1000,11.98,33.21,B,953.31,18.4
director,10,MS,OWN,11.32,168000,6,425003,118048,64000,35000,9.93,742.45,B,33166.09,1087.62
hub employee,10,CA,RENT,11.36,28000,10,41049,28534,14700,7000,10.9,228.84,B,6499.71,177.75
fire fighter,10,MI,RENT,2.84,72550,6,91400,6455,16200,6000,10.9,196.15,B,5571.17,129.86
tint technician,10,TX,MORTGAGE,15.48,45000,15,303968,20648,87800,15000,9.44,480.08,B,13534.5,446.95
assistant complex manager,10,VA,MORTGAGE,22.35,165000,17,375959,150580,26700,20375,9.43,652.01,B,19387.34,380.41
senior logistics analyst,1,VA,RENT,4.48,91000,5,23100,10498,2000,2200,11.99,73.07,B,1992.56,81.91
superintendant,10,TX,MORTGAGE,37.12,60000,8,88941,57089,13000,15000,9.93,483.52,B,13173.04,574.09
owner,9,TX,MORTGAGE,17.27,182000,9,144750,109809,16000,40000,10.91,1307.85,B,35192.46,1707.47
managers,5,TX,MORTGAGE,15.04,46996,6,112112,21705,5000,19350,11.99,642.61,B,17058.3,816.31
program analyst,10,IL,MORTGAGE,10.66,110000,20,80200,27034,41800,36000,11.99,800.62,B,33750.9,1884.12
restaurant manager,9,MN,MORTGAGE,31.44,40000,6,139729,41442,6000,6400,11.99,212.55,B,5796.61,263.38
transportation specialist,2,OK,MORTGAGE,83.4,33975,15,123279,80391,72900,40000,9.43,1280.01,B,37080.14,878.26
asst teacher,10,CA,RENT,22.98,35000,7,44209,27492,15500,11000,11.99,365.31,B,10226.11,307.39
manager,6,GA,MORTGAGE,18.39,110000,7,248184,55888,10500,40000,10.42,858.18,B,37929.84,1350.98
electronic maintenance,9,OH,MORTGAGE,14.34,62004,12,139768,31967,24500,20000,9.93,644.69,B,18059.32,616.01
partner,3,NC,MORTGAGE,10.95,105000,4,162523,24869,19000,7500,9.93,241.76,B,0,191.01
receptionist,3,SC,MORTGAGE,469.09,3300,15,474197,81424,16800,25000,11.99,830.24,B,22643.18,930.83
rn,2,MN,MORTGAGE,26.18,65000,11,361108,23794,15600,20000,11.98,444.69,B,19258.64,579.4
senior accounts payable clerk,10,FL,MORTGAGE,1.56,43000,15,45100,860,35600,40000,9.43,838.71,B,37877.63,1097.77
auditor,10,NC,MORTGAGE,17.81,70000,8,333854,46577,20700,32000,9.93,1031.5,B,29680.81,775.32
director of strategic partnerships,0,MI,RENT,28.52,80000,15,185073,142263,39200,15000,10.42,486.98,B,13555.33,494.57
accountant,1,CO,RENT,10.94,70000,16,71138,18689,36200,15600,10.42,506.45,B,13712.55,626.74
professor,10,MN,MORTGAGE,9.87,85000,7,355490,39041,29300,16000,9.92,339.33,B,15272.22,381.39
program coordinator,10,CA,RENT,23.22,49000,22,358026,63446,46900,16000,10.41,343.19,B,15381.5,392.56
technician,10,NV,RENT,3.07,50000,3,7900,3925,7900,4800,11.99,159.41,B,4347.47,199.09
president,7,CA,MORTGAGE,21.04,75000,15,464904,43934,65900,20000,9.93,644.69,B,16357.58,635.51
pharm tech,0,TX,RENT,9.72,40000,10,54211,32053,27700,6000,10.41,194.77,B,5568.11,145.48
vice president,10,TX,MORTGAGE,27.93,100000,20,261246,79695,22000,39425,10.9,855.24,B,37920.02,1036.87
account manager,4,MN,MORTGAGE,8.74,160000,12,409810,43231,43800,24000,9.93,773.63,B,21671.17,739.21
warehouse associate,1,CA,MORTGAGE,1.07,28000,3,7000,75,7000,6500,10.9,212.5,B,6191.69,108.82
superintendent,3,GA,OWN,5.51,130000,3,26000,13572,12000,36000,10.41,1168.57,B,33408.84,893.73
cosmetologist colorist,9,NY,RENT,14.64,35000,14,62866,28040,36400,3000,11.98,99.62,B,2788.9,83.77
medical asst,10,MA,RENT,9.37,92000,11,44560,24203,23600,10000,10.41,324.61,B,9522.22,165.66
director international relations,9,NJ,MORTGAGE,25.17,86500,17,400642,73626,25100,15000,9.44,314.59,B,14001.46,566.54
billing supervisor,7,CA,RENT,17.44,62000,7,27000,19272,9900,20000,11.99,664.2,B,18592.93,665.47
kitchen helper,2,NY,RENT,8.51,8500,14,16300,2030,12400,7000,11.99,232.47,B,5402.59,308.26
artistic associate,8,CT,RENT,1.63,72000,1,7500,2840,7500,20000,11.99,444.79,B,18750.5,961.13
dock worker,10,PA,MORTGAGE,18.48,58000,8,190462,30328,29000,15000,10.42,321.82,B,14223.68,502.28
superintendent,7,GA,MORTGAGE,33.46,75000,10,196451,93950,12500,4800,11.99,159.41,B,4231.5,225.35
teacher,6,VA,MORTGAGE,22.33,43000,9,310992,16257,4800,18000,9.43,377.42,B,17286.51,418.77
department supervisor,10,IN,MORTGAGE,20.55,55000,5,154069,11150,0,5600,9.43,179.21,B,5191.19,125.89
driver,3,CA,RENT,9.69,54000,8,24788,16486,5700,10000,9.44,320.05,B,8773.94,368.95
civil servant,10,OH,MORTGAGE,5.39,57000,7,79869,7498,8400,9000,9.44,288.05,B,8120.69,268.17
plumber,4,IN,MORTGAGE,7.91,130000,19,380547,16799,65800,12000,9.92,254.5,B,0,4.14
neighborhood & housing specialist,3,NJ,RENT,11.68,45000,8,24900,17234,22200,10000,10.9,326.92,B,8881.64,256.34
a&p mechanic,10,AZ,MORTGAGE,19.28,60000,10,191656,30562,17700,12000,10.91,392.36,B,10851.41,413.58
heavy equipment washing,8,NC,RENT,6.4,30000,3,7100,5106,7100,8000,10.41,259.69,B,7424.16,198.6
administrative secretary,10,NV,MORTGAGE,36.86,38000,7,205145,55041,11100,5000,9.44,160.03,B,4386.95,184.48
private equity analyst,0,MA,RENT,10.23,40000,6,49020,12629,43100,7000,10.42,227.26,B,6101.48,271.95
secretary,4,NY,OWN,28.95,55000,21,178963,44304,39900,10000,9.43,320.01,B,9270.01,224.8
program coordinator,10,FL,RENT,33.22,65000,19,157340,65335,75500,26000,11.98,578.1,B,24706.66,1001.76
truck driver,10,AR,MORTGAGE,19.32,51000,3,203258,48820,17400,15000,10.91,490.45,B,13564.27,507.89
teacher,9,AL,MORTGAGE,5.95,50622,11,168011,71721,7600,5600,9.44,179.23,B,0,44.05
medical education specialist,10,FL,MORTGAGE,9.17,80000,12,42648,18328,21900,7500,9.44,240.04,B,6580.45,272.78
joint venture partner,2,GA,MORTGAGE,17.51,140000,7,425018,96587,30500,10000,11.99,332.1,B,8815.65,469.49
vice president,9,MA,MORTGAGE,29.43,100000,9,471400,93782,33700,10500,10.9,343.26,B,10001.98,182.14
parole,0,TX,MORTGAGE,20.25,40000,13,132817,131726,10000,7000,11.98,232.44,B,6673.26,142.8
accounts payable specialist,2,GA,OWN,18.73,72800,18,368376,43546,13000,20000,11.99,664.2,B,18114.51,757.99
professor,10,MO,MORTGAGE,29.19,84500,11,312460,67856,90200,20400,10.9,442.53,B,19621.28,536.52
office administrator,5,NJ,RENT,17.75,73000,10,71684,44532,24800,14000,9.93,296.98,B,13079.24,556.42
freight team member,1,MA,RENT,12.62,70000,13,94090,74215,15500,6025,10.41,195.58,B,5591.32,149.58
general manager asset services,0,TX,MORTGAGE,9.03,200000,7,414105,48277,25200,35000,10.41,1136.11,B,32483,850.85
provisions,3,VA,MORTGAGE,44.53,27840,10,82848,71725,8400,16000,10.91,347.17,B,15003.29,546.15
senior engagement lead,10,NJ,OWN,9.19,230000,8,441037,53298,38500,12000,10.91,392.36,B,10851.41,413.58
training manager,10,NY,MORTGAGE,10.34,65000,9,38843,3335,10700,10000,9.44,209.73,B,9469.53,303.21
driver,1,IL,RENT,12.59,100000,11,59211,47055,11600,13000,10.91,282.07,B,12336.2,444.78
support coordinator,10,CA,RENT,24.61,71000,21,158444,54288,82000,16000,10.41,519.37,B,14457.8,526.03
service techician,10,CA,MORTGAGE,5.17,93000,7,387140,15083,23500,20000,10.42,649.3,B,18072.54,646.58
asst manager,3,CT,MORTGAGE,14.74,60000,13,166146,23762,17300,11500,10.91,376.01,B,10117.82,483.93
medical assistant,4,NJ,OWN,3.81,34320,5,99250,1162,3200,5000,9.44,160.03,B,4511.49,148.99
electrician,2,CO,MORTGAGE,13.33,104000,15,527225,35817,133400,37000,9.44,775.99,B,35037.3,1102.45
it manager,7,ID,MORTGAGE,37.61,80000,15,431315,117722,39600,6000,10.41,194.77,B,5713.32,99.39
senior inspector,10,CO,MORTGAGE,3.67,88000,21,259915,14387,70800,17000,9.43,356.46,B,16326.13,386.6
contracting officer,2,WA,RENT,9.41,38411,12,68553,56754,0,16000,10.91,523.14,B,14468.58,551.44
pilot,10,TX,MORTGAGE,18.52,71487,7,236141,61100,4900,6500,10.42,211.03,B,0,2.35
ultrasound tech,1,TX,MORTGAGE,21.17,53000,9,218015,31368,20500,30000,9.44,629.18,B,28408.62,909.61
creative director,3,NY,OWN,6.42,175000,5,756153,101918,3500,25000,11.99,555.99,B,23438.11,1184.75
heart transplant coordinator,10,IL,MORTGAGE,7.04,70000,9,327054,17608,69800,40000,9.44,838.91,B,37878.15,1254.77
paralegal,9,MI,MORTGAGE,35.5,43000,28,237785,47921,35700,21000,10.91,686.62,B,18476.05,883.69
vp customer operations,8,FL,MORTGAGE,26.05,90000,7,334941,49492,500,12000,9.44,251.68,B,11363.42,354.41
director,10,NY,OWN,18.22,125000,27,557584,59865,38200,28000,11.98,622.57,B,27310.5,537
train operator,10,NY,MORTGAGE,23.03,85000,23,349945,44783,37300,15000,9.93,318.19,B,14412.97,350.99
sprinkler foreman,9,NH,RENT,29.32,60000,12,88864,52437,14200,5000,10.91,163.49,B,4316.14,164.04
dispatcher,5,NV,MORTGAGE,62.48,30000,17,190832,57345,19700,32000,9.44,1024.16,B,28873.64,953.5
quality inspection,9,MN,MORTGAGE,24.81,70000,9,297982,54997,18500,26400,9.43,553.55,B,24999.24,785.78
motor vehicle operator,10,KS,OWN,9.92,67500,5,99557,25512,11000,10000,9.43,209.68,B,9603.61,253.61
director,4,CA,MORTGAGE,5.66,200000,11,561963,42084,22000,7000,9.93,225.65,B,6320.73,219.47
marketing director,3,CA,MORTGAGE,13.33,100000,4,45949,24685,900,35000,9.44,1120.18,B,30708.78,1291.32
janitor,5,IL,OWN,28.23,46000,10,83859,28733,13500,6000,9.44,192.03,B,5264.37,207.21
customer service,2,CA,RENT,1.77,17000,3,1300,399,0,4800,11.98,159.39,B,4462.24,146.36
rn,10,GA,MORTGAGE,4.94,60000,9,420193,5003,4600,15000,9.44,314.59,B,14204.31,446.94
coordinator,1,TX,RENT,16.53,40000,6,60437,63252,5000,2500,11.99,83.03,B,0,34.46
sergeant,9,NY,MORTGAGE,12.51,150000,11,566589,38136,36600,30000,9.44,960.15,B,26321.83,1106.85
overnight,2,IL,MORTGAGE,3.44,29000,6,307500,2686,13500,5000,10.42,162.33,B,4395.02,199.43
owner,10,OK,MORTGAGE,15.37,54100,3,35015,18043,6800,2300,10.91,75.21,B,2079.82,80.66
shipping supervisor,10,TX,OWN,29.28,38000,15,82380,27300,49600,13500,9.44,283.13,B,12601.32,509.89
teacher,10,OH,MORTGAGE,22.65,74000,15,361341,50844,36100,19600,10.42,420.51,B,18585.61,616.6
overnight stocker,0,TX,RENT,8.38,50000,11,37300,16232,37300,20000,10.41,649.21,B,18560.45,496.51
police,10,AZ,MORTGAGE,16.19,110000,15,342336,60805,22250,20000,11.99,444.79,B,19005.39,771.23
pilot,4,CT,MORTGAGE,23.08,258000,30,816950,233804,74900,20000,10.91,653.93,B,18085.7,689.3
funding manager,10,CA,MORTGAGE,9.13,72000,8,23400,13222,8500,4000,10.41,129.85,B,3712.07,99.31
case manager,7,MO,MORTGAGE,13.08,49000,8,125503,32285,0,17500,10.42,375.46,B,16594.28,585.99
manager,10,NJ,MORTGAGE,14.9,154400,14,585643,120709,62000,29000,9.43,608.07,B,27850.48,659.5
senior cohort sales advisor,3,VA,RENT,27.4,200000,12,1598627,161087,38500,20000,9.93,424.26,B,18684.61,794.88
client advisor,10,IL,MORTGAGE,16.54,150000,10,499711,89584,22500,13000,9.92,418.99,B,12374.37,255.35
director of learning & performance,6,UT,MORTGAGE,23.96,116000,11,269307,269011,22800,15000,9.92,318.12,B,14412.81,358.9
recruiter,10,PA,MORTGAGE,24.86,72000,8,261391,65409,41000,40000,9.92,1289.19,B,38075.03,708.52
customer service agent,10,TX,RENT,20.14,77000,5,47456,44103,11000,15000,10.42,486.98,B,13185.1,606.77
mechanical engineer,3,MA,MORTGAGE,10.02,53574,6,29600,13867,14600,10000,10.42,214.55,B,9392.44,329.06
