Film,Year,Rating,Number_Ratings,Length_Minutes,
Videodrome,1983,7.3,43425,87,
The Outsiders,1983,7.1,43358,91,
Never Say Never Again,1983,6.2,38125,134,
Christine,1983,6.5,37524,110,
The Right Stuff,1983,7.9,36688,193,
Superman III,1983,4.9,36268,125,
The Dead Zone,1983,7.3,33436,103,
Terms of Endearment,1983,7.4,30200,132,
Flashdance,1983,5.9,25176,95,
Zelig,1983,7.8,24101,79,
Sudden Impact,1983,6.6,23101,117,
Jaws 3-D,1983,3.5,21964,99,
The Big Chill,1983,7.1,20502,105,
Twilight Zone: The Movie,1983,6.4,20372,101,
Rumble Fish,1983,7.2,19163,94,
Cujo,1983,5.9,18899,93,
Indiana Jones and the Temple of Doom,1984,7.6,220246,118,
Amadeus,1984,8.4,189994,160,
Ghost Busters,1984,7.8,184737,105,
Once Upon a Time in America,1984,8.4,152198,139,
A Nightmare on Elm Street,1984,7.5,104902,91,
Gremlins,1984,7.2,98137,106,
Beverly Hills Cop,1984,7.3,91988,105,
The Karate Kid,1984,7.1,86966,126,
This Is Spinal Tap,1984,8,84835,82,
Dune,1984,6.6,78482,137,
The NeverEnding Story,1984,7.4,69563,102,
Police Academy,1984,6.5,65526,96,
Kaze no tani no Naushika,1984,8.1,56345,117,
Blood Simple.,1984,7.7,52551,99,
Sixteen Candles,1984,7.1,51428,93,
Romancing the Stone,1984,6.9,49026,106,
Conan the Destroyer,1984,5.7,47675,103,
Star Trek III: The Search for Spock,1984,6.6,45140,105,
Splash,1984,6.2,42372,111,
Nineteen Eighty-Four,1984,7.2,36500,113,
Top Secret!,1984,7.1,36199,90,
Footloose,1984,6.3,35667,107,
The Killing Fields,1984,7.9,34986,141,
Red Dawn,1984,6.2,34030,114,
Back to the Future,1985,8.5,454605,116,
The Breakfast Club,1985,7.9,174095,97,
The Goonies,1985,7.7,127282,114,
Brazil,1985,8,121758,94,
Rocky IV,1985,6.5,85991,91,
Rambo: First Blood Part II,1985,6.3,85396,96,
Commando,1985,6.5,78424,90,
Mad Max Beyond Thunderdome,1985,6.1,64861,107,
Ran,1985,8.3,56659,162,
Witness,1985,7.5,51976,112,
A View to a Kill,1985,6.3,50824,131,
The Color Purple,1985,7.7,48363,154,
Weird Science,1985,6.5,44123,94,
Clue,1985,7.3,42739,94,
Day of the Dead,1985,7.1,38499,103,
Out of Africa,1985,7.1,37011,161,
Cocoon,1985,6.6,35546,117,
Legend,1985,6.3,35027,94,
Pee-wee's Big Adventure,1985,6.9,33615,90,
The Return of the Living Dead,1985,7.3,30598,91,
Fright Night,1985,7,30555,106,
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,5.2,30532,87,
The Jewel of the Nile,1985,6,30432,106,
Fletch,1985,6.8,29811,98,
European Vacation,1985,6,29305,95,
Aliens,1986,8.5,339440,137,
Platoon,1986,8.2,209180,120,
Stand by Me,1986,8.1,189442,89,
Ferris Bueller's Day Off,1986,7.9,179906,103,
Top Gun,1986,6.8,160648,110,
Blue Velvet,1986,7.8,97538,120,
The Fly,1986,7.5,86121,96,
Highlander,1986,7.2,77734,116,
Labyrinth,1986,7.4,68730,101,
Big Trouble in Little China,1986,7.2,67301,99,
Der Name der Rose,1986,7.8,64524,130,
Crocodile Dundee,1986,6.5,59389,93,
Tenkû no shiro Rapyuta,1986,8.1,56920,124,
Star Trek IV: The Voyage Home,1986,7.2,47024,119,
The Color of Money,1986,6.9,44980,119,
¡Three Amigos!,1986,6.3,40719,104,
Hannah and Her Sisters,1986,7.9,40027,103,
Manhunter,1986,7.2,38654,119,
Little Shop of Horrors,1986,6.8,37692,94,
Pretty in Pink,1986,6.7,36537,96,
The Karate Kid Part II,1986,5.7,36058,113,
The Mission,1986,7.4,35042,125,
Cobra,1986,5.4,34834,87,
Short Circuit,1986,6.4,33136,98,
The Golden Child,1986,5.7,30650,94,
Full Metal Jacket,1987,8.4,318827,116,
The Princess Bride,1987,8.1,214414,98,
Predator,1987,7.8,214138,107,
The Untouchables,1987,8,172512,119,
Lethal Weapon,1987,7.6,147765,108,
RoboCop,1987,7.5,123675,102,
Spaceballs,1987,7,101647,96,
Dirty Dancing,1987,6.7,99443,100,
Wall Street,1987,7.4,94909,126,
The Running Man,1987,6.6,84672,101,
Evil Dead II,1987,7.8,84153,84,
Raising Arizona,1987,7.4,78620,94,
The Lost Boys,1987,7.1,70792,97,
Empire of the Sun,1987,7.8,67610,152,
Planes Trains & Automobiles,1987,7.5,66511,93,
Beverly Hills Cop II,1987,6.3,63526,100,
Good Morning Vietnam,1987,7.2,63157,121,
Hellraiser,1987,7,56798,94,
The Living Daylights,1987,6.7,52209,130,
The Last Emperor,1987,7.8,51306,163,
Angel Heart,1987,7.3,48869,113,
Fatal Attraction,1987,6.9,41076,119,
The Witches of Eastwick,1987,6.4,37210,118,
Der Himmel über Berlin,1987,8,35929,128,
A Nightmare on Elm Street 3: Dream Warriors,1987,6.4,35195,96,
Die Hard,1988,8.3,412521,131,
Rain Man,1988,8,292882,133,
Beetle Juice,1988,7.4,133716,92,
Big,1988,7.2,111022,104,
Who Framed Roger Rabbit,1988,7.6,102253,104,
Nuovo Cinema Paradiso,1988,8.5,97274,155,
Tonari no Totoro,1988,8.2,94009,86,
A Fish Called Wanda,1988,7.6,89667,108,
Coming to America,1988,6.9,87279,116,
The Naked Gun: From the Files of Police Squad!,1988,7.6,82885,85,
Hotaru no haka,1988,8.4,79776,89,
Akira,1988,8,71715,124,
Willow,1988,7.2,65927,126,
Rambo III,1988,5.5,65172,102,
Twins,1988,5.9,64775,107,
Mississippi Burning,1988,7.8,50574,128,
They Live,1988,7.2,49518,93,
Child's Play,1988,6.4,46534,87,
Scrooged,1988,6.9,45065,101,
Cocktail,1988,5.7,44582,104,
The Land Before Time,1988,7.2,44142,69,
Dangerous Liaisons,1988,7.7,43679,119,
Midnight Run,1988,7.5,43284,126,
Heathers,1988,7.3,42865,103,
Bloodsport,1988,6.6,40696,92,
Indiana Jones and the Last Crusade,1989,8.3,349540,127,
Back to the Future Part II,1989,7.7,211369,108,
Batman,1989,7.6,204246,126,
Dead Poets Society,1989,7.9,196630,128,
When Harry Met Sally...,1989,7.6,113591,96,
The Abyss,1989,7.6,103422,139,
The Little Mermaid,1989,7.5,102789,83,
Ghostbusters II,1989,6.4,96899,108,
Lethal Weapon 2,1989,7.1,94346,108,
Glory,1989,7.9,85561,122,
Christmas Vacation,1989,7.5,78472,97,
Honey I Shrunk the Kids,1989,6.2,73816,93,
Field of Dreams,1989,7.5,68845,107,
Bill & Ted's Excellent Adventure,1989,6.9,66298,90,
Born on the Fourth of July,1989,7.2,58644,145,
Tango & Cash,1989,6.2,56525,104,
Licence to Kill,1989,6.5,55376,133,
Look Who's Talking,1989,5.7,51302,93,
Say Anything...,1989,7.4,50249,100,
Driving Miss Daisy,1989,7.4,49914,99,
Uncle Buck,1989,6.8,49096,100,
Pet Sematary,1989,6.5,47397,103,
Majo no takkyûbin,1989,7.8,47097,103,
Do the Right Thing,1989,7.9,45751,120,
The 'Burbs,1989,6.7,38661,101,
Goodfellas,1990,8.7,487472,146,
Edward Scissorhands,1990,8,263459,105,
Home Alone,1990,7.3,203658,103,
Die Hard 2,1990,7.1,197531,124,
The Godfather: Part III,1990,7.6,183789,162,
Total Recall,1990,7.5,179058,113,
Back to the Future Part III,1990,7.3,175423,118,
Pretty Woman,1990,6.8,149223,119,
Dances with Wolves,1990,8,137777,181,
Ghost,1990,6.9,118628,127,
The Hunt for Red October,1990,7.6,112542,134,
Misery,1990,7.8,98863,107,
Miller's Crossing,1990,7.9,82933,115,
Kindergarten Cop,1990,5.9,81328,111,
Predator 2,1990,6.2,69823,108,
Awakenings,1990,7.7,67282,121,
Tremors,1990,7.1,65487,96,
Rocky V,1990,4.9,59653,104,
Jacob's Ladder,1990,7.5,58284,113,
Teenage Mutant Ninja Turtles,1990,6.6,51083,93,
Flatliners,1990,6.5,49929,115,
Gremlins 2: The New Batch,1990,6.2,48268,106,
Wild at Heart,1990,7.2,47039,125,
Days of Thunder,1990,5.7,45904,107,
Nikita,1990,7.4,44598,118,
The Silence of the Lambs,1991,8.6,553303,118,
Terminator 2: Judgment Day,1991,8.5,500349,137,
Beauty and the Beast,1991,8,196773,84,
Hook,1991,6.5,133367,144,
Robin Hood: Prince of Thieves,1991,6.9,113463,143,
Cape Fear,1991,7.3,98697,128,
JFK,1991,8,92452,189,
Thelma & Louise,1991,7.3,76792,130,
Point Break,1991,7.1,76560,122,
The Addams Family,1991,6.7,71354,99,
Boyz n the Hood,1991,7.7,68591,112,
Barton Fink,1991,7.7,66638,116,
The Naked Gun 2½: The Smell of Fear,1991,6.7,62165,85,
The Last Boy Scout,1991,6.9,60379,105,
Hot Shots!,1991,6.6,58870,84,
The Doors,1991,7.1,55129,140,
Delicatessen,1991,7.7,52694,99,
Backdraft,1991,6.7,47488,137,
The Fisher King,1991,7.5,46892,137,
Father of the Bride,1991,6.4,43971,105,
Star Trek VI: The Undiscovered Country,1991,7.2,43420,113,
My Girl,1991,6.6,41740,102,
Fried Green Tomatoes,1991,7.5,40482,130,
What About Bob?,1991,6.9,39729,99,
Bill & Ted's Bogus Journey,1991,6.1,39606,93,
Reservoir Dogs,1992,8.4,434316,99,
Unforgiven,1992,8.3,197555,131,
Aladdin,1992,7.9,168976,90,
Batman Returns,1992,6.9,158357,126,
Alien³,1992,6.4,149913,114,
Scent of a Woman,1992,7.9,143808,157,
A Few Good Men,1992,7.6,140225,138,
Home Alone 2: Lost in New York,1992,6.3,127019,120,
Dracula,1992,7.4,108311,128,
Basic Instinct,1992,6.9,102252,128,
Lethal Weapon 3,1992,6.6,99454,118,
Army of Darkness,1992,7.6,98433,81,
The Last of the Mohicans,1992,7.8,85987,117,
Wayne's World,1992,6.9,84888,94,
The Bodyguard,1992,5.9,67478,129,
My Cousin Vinny,1992,7.4,65880,120,
Braindead,1992,7.6,63008,104,
Patriot Games,1992,6.9,62925,117,
Death Becomes Her,1992,6.3,59706,104,
Glengarry Glen Ross,1992,7.9,57638,100,
A League of Their Own,1992,7.1,55829,128,
Universal Soldier,1992,5.9,54908,84,
Malcolm X,1992,7.7,48796,202,
Under Siege,1992,6.4,48702,103,
Sister Act,1992,6,47742,100,
Schindler's List,1993,8.9,569293,195,
Jurassic Park,1993,8,362502,127,
Groundhog Day,1993,8.1,294385,101,
The Fugitive,1993,7.8,171746,130,
The Nightmare Before Christmas,1993,8,169884,76,
Philadelphia,1993,7.7,137439,125,
True Romance,1993,7.9,127089,120,
Carlito's Way,1993,7.9,126339,144,
What's Eating Gilbert Grape,1993,7.7,125695,118,
Mrs. Doubtfire,1993,6.7,120535,125,
Falling Down,1993,7.6,106944,113,
Sleepless in Seattle,1993,6.7,93845,105,
Demolition Man,1993,6.5,92897,115,
Dazed and Confused,1993,7.6,84177,102,
Last Action Hero,1993,6.1,83039,130,
A Bronx Tale,1993,7.7,74296,121,
Tombstone,1993,7.8,73777,130,
Cliffhanger,1993,6.3,73679,112,
In the Name of the Father,1993,8.1,69557,133,
Robin Hood: Men in Tights,1993,6.6,68490,104,
The Firm,1993,6.7,67270,154,
In the Line of Fire,1993,7.2,59982,128,
Cool Runnings,1993,6.8,52530,98,
The Piano,1993,7.5,51415,121,
Hot Shots! Part Deux,1993,6.4,49747,86,
The Shawshank Redemption,1994,9.3,1118548,142,
Pulp Fiction,1994,9,866463,154,
Forrest Gump,1994,8.8,750583,142,
Léon,1994,8.6,475614,110,
The Lion King,1994,8.4,382533,89,
Dumb & Dumber,1994,7.2,208057,107,
Speed,1994,7.2,198026,116,
Interview with the Vampire: The Vampire Chronicles,1994,7.5,186843,123,
The Mask,1994,6.8,178888,101,
Ace Ventura: Pet Detective,1994,6.8,152824,86,
Clerks.,1994,7.9,149381,92,
True Lies,1994,7.2,145671,141,
Natural Born Killers,1994,7.2,133338,118,
Ed Wood,1994,7.9,120451,127,
Stargate,1994,6.9,117136,121,
The Crow,1994,7.6,108663,102,
Four Weddings and a Funeral,1994,7,84411,117,
Legends of the Fall,1994,7.4,82355,133,
Maverick,1994,6.9,64003,127,
Naked Gun 33 1/3: The Final Insult,1994,6.3,57843,83,
The Hudsucker Proxy,1994,7.3,54287,111,
Clear and Present Danger,1994,6.9,53033,141,
The Flintstones,1994,4.7,49073,91,
Star Trek: Generations,1994,6.5,47391,118,
The Santa Clause,1994,6.2,45748,97,
Se7en,1995,8.7,655636,127,
Braveheart,1995,8.4,500158,177,
The Usual Suspects,1995,8.7,500023,106,
Toy Story,1995,8.3,389145,74,
Twelve Monkeys,1995,8.1,329272,129,
Heat,1995,8.3,309887,170,
Casino,1995,8.2,225328,178,
Die Hard: With a Vengeance,1995,7.6,221978,131,
Apollo 13,1995,7.6,160025,140,
GoldenEye,1995,7.2,152770,130,
Batman Forever,1995,5.4,144608,121,
Jumanji,1995,6.7,129956,104,
Bad Boys,1995,6.7,120713,118,
Ace Ventura: When Nature Calls,1995,6.1,113281,90,
Waterworld,1995,6,110380,135,
Before Sunrise,1995,8.1,109969,105,
Desperado,1995,7.1,106333,104,
Mallrats,1995,7.2,81702,94,
Clueless,1995,6.7,80259,97,
Billy Madison,1995,6.4,79100,89,
Leaving Las Vegas,1995,7.6,75923,111,
Babe,1995,6.9,74293,89,
Pocahontas,1995,6.4,71695,81,
Outbreak,1995,6.5,70761,127,
La haine,1995,8.1,67695,98,
Trainspotting,1996,8.2,326401,94,
Independence Day,1996,6.8,316191,145,
Fargo,1996,8.2,297049,98,
Mission: Impossible,1996,7,210281,110,
The Rock,1996,7.4,209146,136,
Scream,1996,7.2,170899,103,
From Dusk Till Dawn,1996,7.2,158052,108,
Jerry Maguire,1996,7.2,142870,139,
Mars Attacks!,1996,6.3,134490,106,
Romeo + Juliet,1996,6.8,124287,120,
Sleepers,1996,7.5,123418,147,
Twister,1996,6.2,115534,113,
Happy Gilmore,1996,6.9,111172,92,
The English Patient,1996,7.4,106608,162,
Primal Fear,1996,7.6,94745,129,
The Cable Guy,1996,5.9,92641,96,
Star Trek: First Contact,1996,7.5,80845,111,
Ransom,1996,6.6,79299,121,
A Time to Kill,1996,7.3,72762,149,
Space Jam,1996,6,72536,88,
The Nutty Professor,1996,5.5,66042,95,
Eraser,1996,6,65109,115,
Broken Arrow,1996,5.9,64604,108,
DragonHeart,1996,6.3,63465,103,
The Hunchback of Notre Dame,1996,6.8,62595,91,
Titanic,1997,7.7,536867,194,
Good Will Hunting,1997,8.2,388417,126,
L.A. Confidential,1997,8.3,307384,138,
Men in Black,1997,7.2,284899,98,
The Fifth Element,1997,7.6,253379,126,
La vita è bella,1997,8.6,249710,116,
Face/Off,1997,7.3,216533,138,
The Devil's Advocate,1997,7.4,192070,144,
The Game,1997,7.7,187078,129,
As Good as It Gets,1997,7.7,183081,139,
The Lost World: Jurassic Park,1997,6.4,180707,129,
Jackie Brown,1997,7.5,178394,154,
Starship Troopers,1997,7.1,174336,129,
Con Air,1997,6.8,173112,115,
Donnie Brasco,1997,7.8,169381,127,
Gattaca,1997,7.8,158559,106,
Liar Liar,1997,6.8,153224,86,
Contact,1997,7.3,148100,150,
Batman & Robin,1997,3.6,145726,125,
Austin Powers: International Man of Mystery,1997,7,142734,94,
Mononoke-hime,1997,8.4,142052,134,
Boogie Nights,1997,7.9,141966,155,
Alien: Resurrection,1997,6.2,123907,109,
Cube,1997,7.4,116155,90,
Air Force One,1997,6.4,114916,124,
Saving Private Ryan,1998,8.6,570846,169,
American History X,1998,8.6,519728,119,
The Truman Show,1998,8,430131,103,
The Big Lebowski,1998,8.2,363052,117,
Lock Stock and Two Smoking Barrels,1998,8.2,290225,120,
Armageddon,1998,6.5,245493,151,
There's Something About Mary,1998,7.1,195889,119,
Fear and Loathing in Las Vegas,1998,7.7,166167,118,
A Bug's Life,1998,7.2,152286,95,
Enemy of the State,1998,7.2,148380,140,
Blade,1998,7.1,140343,120,
Shakespeare in Love,1998,7.2,138027,123,
Rush Hour,1998,6.8,136510,98,
Lola rennt,1998,7.8,135324,81,
Meet Joe Black,1998,7,127640,178,
Dark City,1998,7.8,122460,100,
Ronin,1998,7.2,120385,122,
Godzilla,1998,5.2,116381,139,
You've Got Mail,1998,6.4,114163,119,
Pi,1998,7.5,111931,84,
The Thin Red Line,1998,7.6,111137,170,
Deep Impact,1998,6.1,109518,120,
The Mask of Zorro,1998,6.7,104210,136,
Lethal Weapon 4,1998,6.6,101458,127,
Mulan,1998,7.4,100380,88,
Fight Club,1999,8.9,852681,139,
The Matrix,1999,8.7,802933,136,
American Beauty,1999,8.5,576892,122,
The Sixth Sense,1999,8.2,494697,107,
The Green Mile,1999,8.5,470981,189,
Star Wars: Episode I - The Phantom Menace,1999,6.5,367022,136,
Toy Story 2,1999,7.9,265097,92,
American Pie,1999,7,244680,95,
The Mummy,1999,6.9,239612,115,
Sleepy Hollow,1999,7.4,205119,105,
Being John Malkovich,1999,7.8,201231,112,
Magnolia,1999,8,199610,188,
Eyes Wide Shut,1999,7.2,173902,159,
The Boondock Saints,1999,7.9,166451,108,
Office Space,1999,7.8,157283,89,
10 Things I Hate About You,1999,7.1,155074,97,
Dogma,1999,7.3,151242,130,
Notting Hill,1999,6.9,145609,124,
The Blair Witch Project,1999,6.3,145576,81,
Austin Powers: The Spy Who Shagged Me,1999,6.6,144021,95,
South Park: Bigger Longer & Uncut,1999,7.8,126925,81,
The World Is Not Enough,1999,6.3,121905,128,
Cruel Intentions,1999,6.8,121263,97,
Big Daddy,1999,6.3,118083,93,
Three Kings,1999,7.2,112939,114,
Gladiator,2000,8.5,627257,155,
Memento,2000,8.6,579407,113,
Snatch.,2000,8.3,410447,104,
Requiem for a Dream,2000,8.4,395025,102,
X-Men,2000,7.4,294407,104,
Cast Away,2000,7.6,270395,143,
American Psycho,2000,7.6,248433,102,
Meet the Parents,2000,7,199395,108,
Unbreakable,2000,7.2,193372,106,
Wo hu cang long,2000,7.9,183885,120,
Mission: Impossible II,2000,5.9,171373,123,
O Brother Where Art Thou?,2000,7.8,169769,106,
Gone in Sixty Seconds,2000,6.4,167745,118,
Almost Famous,2000,7.9,161577,122,
The Patriot,2000,7,157626,175,
Pitch Black,2000,7.1,151260,112,
Traffic,2000,7.7,145739,147,
Scary Movie,2000,6.1,143446,88,
Me Myself & Irene,2000,6.5,143402,116,
Final Destination,2000,6.7,134305,98,
Amores perros,2000,8.1,125091,154,
The Beach,2000,6.5,124756,119,
What Women Want,2000,6.3,122926,127,
Remember the Titans,2000,7.7,120909,113,
Charlie's Angels,2000,5.5,117503,98,
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,826689,178,
Donnie Darko,2001,8.1,413302,113,
A Beautiful Mind,2001,8.1,365419,135,
Le fabuleux destin d'Amélie Poulain,2001,8.5,364325,122,
Monsters Inc.,2001,8,350959,92,
Shrek,2001,7.9,330700,90,
Harry Potter and the Sorcerer's Stone,2001,7.4,310874,152,
Ocean's Eleven,2001,7.7,284484,116,
Sen to Chihiro no kamikakushi,2001,8.6,257231,125,
Training Day,2001,7.7,221102,122,
Black Hawk Down,2001,7.7,216836,144,
The Others,2001,7.6,204499,101,
The Mummy Returns,2001,6.3,188615,130,
Pearl Harbor,2001,5.8,187153,183,
A.I. Artificial Intelligence,2001,7.1,184680,146,
Moulin Rouge!,2001,7.6,182363,127,
Mulholland Drive,2001,7.9,181985,147,
The Fast and the Furious,2001,6.5,181573,106,
Vanilla Sky,2001,6.9,165522,136,
Hannibal,2001,6.6,162613,131,
The Royal Tenenbaums,2001,7.6,154205,110,
American Pie 2,2001,6.3,153244,108,
Blow,2001,7.6,150697,124,
Jurassic Park III,2001,5.8,143709,92,
Zoolander,2001,6.5,141181,89,
The Lord of the Rings: The Two Towers,2002,8.7,718792,179,
Spider-Man,2002,7.3,372352,121,
Cidade de Deus,2002,8.7,364940,130,
Catch Me If You Can,2002,7.9,321907,141,
The Pianist,2002,8.5,312667,150,
Star Wars: Episode II - Attack of the Clones,2002,6.7,311777,142,
Minority Report,2002,7.7,294591,145,
The Bourne Identity,2002,7.9,288365,119,
Harry Potter and the Chamber of Secrets,2002,7.3,274122,161,
Gangs of New York,2002,7.5,226495,167,
28 Days Later...,2002,7.6,222777,113,
Ice Age,2002,7.5,221029,81,
Signs,2002,6.7,216926,106,
Equilibrium,2002,7.6,201843,107,
Men in Black II,2002,5.9,180984,88,
The Ring,2002,7.1,179295,115,
The Transporter,2002,6.8,172062,92,
Insomnia,2002,7.2,163450,118,
Road to Perdition,2002,7.7,160263,117,
Red Dragon,2002,7.2,156635,124,
Resident Evil,2002,6.6,154951,100,
Panic Room,2002,6.8,154908,112,
Phone Booth,2002,7.1,154293,81,
Chicago,2002,7.1,134451,113,
8 Mile,2002,6.8,131492,110,
The Lord of the Rings: The Return of the King,2003,8.9,800124,201,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,545462,143,
Kill Bill: Vol. 1,2003,8.2,488550,111,
Finding Nemo,2003,8.1,426999,100,
The Matrix Reloaded,2003,7.1,319950,138,
Big Fish,2003,8,288526,125,
The Matrix Revolutions,2003,6.6,277553,129,
X2,2003,7.5,271459,133,
Mystic River,2003,8,265254,138,
Lost in Translation,2003,7.8,246681,101,
Love Actually,2003,7.7,233822,135,
The Last Samurai,2003,7.7,233388,154,
Oldeuboi,2003,8.4,231135,120,
Terminator 3: Rise of the Machines,2003,6.4,220013,109,
The Italian Job,2003,6.9,214478,111,
Bruce Almighty,2003,6.6,209507,101,
Underworld,2003,6.9,157957,121,
Hulk,2003,5.7,156952,138,
Old School,2003,7.1,152482,91,
21 Grams,2003,7.7,149004,124,
The School of Rock,2003,7,148834,108,
Anger Management,2003,6.2,136683,106,
Master and Commander: The Far Side of the World,2003,7.4,135726,138,
Identity,2003,7.3,134490,90,
Bad Boys II,2003,6.4,133203,147,
Eternal Sunshine of the Spotless Mind,2004,8.4,455336,108,
Kill Bill: Vol. 2,2004,8,371174,137,
The Incredibles,2004,8,326394,115,
Million Dollar Baby,2004,8.1,317913,132,
Crash,2004,7.9,297064,115,
Shaun of the Dead,2004,8,288430,99,
The Notebook,2004,7.9,271016,123,
Harry Potter and the Prisoner of Azkaban,2004,7.7,266578,142,
Spider-Man 2,2004,7.4,265846,127,
Troy,2004,7.1,264751,163,
I Robot,2004,7.1,260622,115,
The Butterfly Effect,2004,7.7,258544,113,
The Bourne Supremacy,2004,7.7,243413,108,
The Day After Tomorrow,2004,6.3,235896,124,
Collateral,2004,7.6,230578,120,
Saw,2004,7.7,220210,103,
Shrek 2,2004,7.2,218347,93,
The Terminal,2004,7.2,209606,128,
Ocean's Twelve,2004,6.3,203666,125,
The Machinist,2004,7.7,201271,101,
Man on Fire,2004,7.7,197083,146,
50 First Dates,2004,6.7,195032,99,
National Treasure,2004,6.8,191871,131,
The Aviator,2004,7.5,188724,170,
Hotel Rwanda,2004,8.2,186897,121,
Batman Begins,2005,8.3,630324,140,
V for Vendetta,2005,8.2,532288,132,
Sin City,2005,8.2,474251,124,
Star Wars: Episode III - Revenge of the Sith,2005,7.7,348983,140,
Harry Potter and the Goblet of Fire,2005,7.6,270708,157,
King Kong,2005,7.3,247712,201,
War of the Worlds,2005,6.5,245690,116,
Mr. & Mrs. Smith,2005,6.4,226970,120,
The 40 Year Old Virgin,2005,7.2,224710,116,
Charlie and the Chocolate Factory,2005,6.7,223360,115,
Wedding Crashers,2005,7,214136,119,
The Island,2005,6.8,209321,136,
The Chronicles of Narnia: The Lion the Witch and the Wardrobe,2005,6.9,208986,143,
Brokeback Mountain,2005,7.7,204529,134,
Lord of War,2005,7.6,197777,122,
Fantastic Four,2005,5.7,192326,106,
Serenity,2005,7.9,191666,119,
Hitch,2005,6.6,184888,118,
Madagascar,2005,6.8,173331,86,
Constantine,2005,6.8,171893,121,
Kingdom of Heaven,2005,7.1,159869,144,
Thank You for Smoking,2005,7.7,159348,92,
Walk the Line,2005,7.9,151246,136,
A History of Violence,2005,7.5,151067,96,
Saw II,2005,6.6,144854,95,
The Departed,2006,8.5,565486,151,
The Prestige,2006,8.5,524357,130,
300,2006,7.7,438651,117,
Pirates of the Caribbean: Dead Man's Chest,2006,7.3,364338,151,
Casino Royale,2006,7.9,332502,144,
El laberinto del fauno,2006,8.3,325879,120,
Children of Men,2006,7.9,286090,109,
Blood Diamond,2006,8,277143,143,
Little Miss Sunshine,2006,7.9,269321,101,
X-Men: The Last Stand,2006,6.8,254400,104,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,237672,84,
The Pursuit of Happyness,2006,7.9,234121,117,
The Da Vinci Code,2006,6.4,229045,174,
The Illusionist,2006,7.6,217381,110,
Inside Man,2006,7.6,208182,129,
Lucky Number Slevin,2006,7.7,207474,110,
Superman Returns,2006,6.2,200766,154,
Babel,2006,7.5,194538,143,
The Devil Wears Prada,2006,6.8,192134,109,
Apocalypto,2006,7.8,187569,139,
Deja Vu,2006,7,181691,126,
Mission: Impossible III,2006,6.8,177739,126,
Click,2006,6.4,176198,107,
Das Leben der Anderen,2006,8.5,175766,137,
Cars,2006,7.2,162641,117,
No Country for Old Men,2007,8.2,414843,122,
Transformers,2007,7.1,385670,144,
I Am Legend,2007,7.1,361819,101,
The Bourne Ultimatum,2007,8.1,335613,115,
Ratatouille,2007,8,331264,111,
Pirates of the Caribbean: At World's End,2007,7,329342,169,
Superbad,2007,7.6,312842,119,
Juno,2007,7.6,312224,96,
Into the Wild,2007,8.2,276800,148,
Live Free or Die Hard,2007,7.3,269946,128,
There Will Be Blood,2007,8.1,261374,158,
Hot Fuzz,2007,7.9,254744,121,
Spider-Man 3,2007,6.2,254670,139,
American Gangster,2007,7.8,251145,176,
Harry Potter and the Order of the Phoenix,2007,7.4,249867,138,
Knocked Up,2007,7.1,231473,129,
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.5,212907,116,
The Simpsons Movie,2007,7.4,200764,87,
Zodiac,2007,7.7,197544,162,
3:10 to Yuma,2007,7.8,185569,122,
Ocean's Thirteen,2007,6.9,184745,122,
Shooter,2007,7.1,183032,124,
Stardust,2007,7.7,167822,127,
The Mist,2007,7.2,164775,126,
1408,2007,6.8,162328,104,
The Dark Knight,2008,9,1090605,152,
WALL·E,2008,8.5,452039,98,
Iron Man,2008,7.9,451974,126,
Slumdog Millionaire,2008,8,446088,120,
Gran Torino,2008,8.2,385187,116,
Taken,2008,7.9,348114,93,
The Curious Case of Benjamin Button,2008,7.8,324723,166,
Twilight,2008,5.2,272511,122,
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.3,247334,122,
In Bruges,2008,8,234781,107,
Quantum of Solace,2008,6.7,232086,106,
Wanted,2008,6.7,230897,110,
Tropic Thunder,2008,7,230506,107,
Cloverfield,2008,7.1,228285,85,
The Incredible Hulk,2008,6.9,227623,112,
The Hurt Locker,2008,7.6,227540,131,
Hancock,2008,6.4,224021,92,
The Wrestler,2008,8,212083,109,
Yes Man,2008,6.8,204948,104,
Kung Fu Panda,2008,7.6,201955,90,
Burn After Reading,2008,7,189159,96,
Jumper,2008,6,181725,88,
Pineapple Express,2008,7,175904,111,
Seven Pounds,2008,7.6,175812,123,
Forgetting Sarah Marshall,2008,7.2,168855,111,
Avatar,2009,7.9,637466,162,
Inglourious Basterds,2009,8.3,531050,153,
The Hangover,2009,7.8,409129,100,
District 9,2009,8,404509,112,
Up,2009,8.3,400393,96,
Star Trek,2009,8,381415,127,
Sherlock Holmes,2009,7.6,333158,128,
Watchmen,2009,7.6,289677,162,
Zombieland,2009,7.7,262666,88,
(500) Days of Summer,2009,7.8,261493,95,
Transformers: Revenge of the Fallen,2009,5.9,230971,150,
Harry Potter and the Half-Blood Prince,2009,7.4,219598,153,
X-Men Origins: Wolverine,2009,6.7,219416,107,
